District,Year,Crop,Production
16,1990,Wheat,168.9
16,1991,Wheat,165.5
16,1992,Wheat,202.0
16,1993,Wheat,227.7
16,1994,Wheat,230.5
16,1995,Wheat,211.2
16,1996,Wheat,199.9
16,1997,Wheat,261.4
16,1998,Wheat,272.0
16,1999,Wheat,274.6
16,2000,Wheat,203.4
16,2001,Wheat,238.5
16,2002,Wheat,192.9
16,2003,Wheat,249.6
16,2004,Wheat,243.74
16,2005,Wheat,200.17
16,2006,Wheat,119.21
16,2007,Wheat,60.1
16,2008,Wheat,195.8
16,2009,Wheat,203.9
16,2010,Wheat,169.1
16,2011,Wheat,199.5
16,2012,Wheat,436.15
16,2013,Wheat,434.62
16,2014,Wheat,267.0
16,2015,Wheat,161.0
16,2016,Wheat,596.0
16,2017,Wheat,424.07
17,1966,Wheat,15.0
17,1967,Wheat,33.0
17,1968,Wheat,31.2
17,1969,Wheat,45.9
17,1970,Wheat,41.9
17,1971,Wheat,51.8
17,1972,Wheat,45.4
17,1973,Wheat,33.0
17,1974,Wheat,35.4
17,1975,Wheat,49.1
17,1976,Wheat,33.4
17,1977,Wheat,55.2
17,1978,Wheat,65.3
17,1979,Wheat,25.1
17,1980,Wheat,70.8
17,1981,Wheat,69.6
17,1982,Wheat,78.7
17,1983,Wheat,98.1
17,1984,Wheat,48.6
17,1985,Wheat,61.7
17,1986,Wheat,59.0
17,1987,Wheat,70.0
17,1988,Wheat,80.8
17,1989,Wheat,78.4
17,1990,Wheat,87.9
17,1991,Wheat,73.2
17,1992,Wheat,84.9
17,1993,Wheat,107.6
17,1994,Wheat,107.9
17,1995,Wheat,92.3
17,1996,Wheat,93.8
17,1997,Wheat,84.7
17,1998,Wheat,90.2
17,1999,Wheat,92.2
17,2000,Wheat,55.5
17,2001,Wheat,73.7
17,2002,Wheat,75.2
17,2003,Wheat,78.9
17,2004,Wheat,76.7
17,2005,Wheat,71.84
17,2006,Wheat,57.87
17,2007,Wheat,53.2
17,2008,Wheat,88.3
17,2009,Wheat,97.1
17,2010,Wheat,89.1
17,2011,Wheat,103.7
17,2012,Wheat,156.45
